town,slum,localnbc,pid,townid,nbc,oid_1,sluc,u_id,countyid,name,streetaddress,parceloid,nh_gis_id,displayid,SHAPE__Length,slu,objectid,SHAPE__Area
Portsmouth,,118,0294-0019-0000,178,17,,57,178-35987,8,CamaID: 0294-0019-0000,OCEAN RD,485574,08178-0294-0019-0000,0294-0019-0000,6166.86163794801,57,179459,1146424.47816958
Portsmouth,,301,0258-0036-0000,178,56,,27,178-35724,8,CamaID: 0258-0036-0000,GREENLAND RD,485575,08178-0258-0036-0000,0258-0036-0000,2625.24314661067,27,179460,253014.471745971
Portsmouth,,304,0232-0045-0000,178,59,,57,178-35491,8,CamaID: 0232-0045-0000,698 MIDDLE RD,485576,08178-0232-0045-0000,0232-0045-0000,5269.07878275286,57,179461,1115053.7865938
Portsmouth,,304,0243-0006-0000,178,59,,44,178-35611,8,CamaID: 0243-0006-B101,5 GREENLEAF WOODS DR #101,485577,08178-0243-0006-0000,0243-0006-B101,4013.26410360896,44,179462,735329.092416911
Portsmouth,,304,0242-0005-0000,178,59,,57,178-35592,8,CamaID: 0242-0005-0000,MIDDLE RD,485578,08178-0242-0005-0000,0242-0005-0000,4141.61227045033,57,179463,678771.049895584
Portsmouth,,301,0253-0005-0000,178,56,,33,178-35694,8,CamaID: 0253-0005-0000,20 MIRONA RD EXT,485579,08178-0253-0005-0000,0253-0005-0000,832.172256381841,33,179464,43028.5976812786
Portsmouth,,307,0305-0006-0000,178,63,,34,178-37858,8,CamaID: 0305-0006-0000,101 INTERNATIONAL DR,485580,08178-0305-0006-0000,0305-0006-0000,3371.49865055463,34,179465,653336.390890144
Portsmouth,,307,0305-0008-0000,178,63,,57,178-52165,8,CamaID: 0305-0008-0000,127 INTERNATIONAL DR,485581,08178-0305-0008-0000,0305-0008-0000,649.108480474238,57,179466,25746.6263730796
Portsmouth,,307,0305-0004-0000,178,63,,44,178-53208,8,CamaID: 0305-0004-0003,19 RYE ST #3,485582,08178-0305-0004-0000,0305-0004-0003,2915.63482375528,44,179467,452338.857697202
Portsmouth,,,0,178,,,,,,,,485583,08178-0,,2521.21516592163,,179468,70025.9528908576
Portsmouth,,,0,178,,,,,,,,485584,08178-0,,829.743757625282,,179469,20152.7467769262
Portsmouth,,305,0138-0062-0000,178,60,,33,178-37546,8,CamaID: 0138-0062-0000,89 FOUNDRY PL,485585,08178-0138-0062-0000,0138-0062-0000,603.463560692314,33,179470,22540.2691571953
Portsmouth,,204,0138-0035-0000,178,34,,14,178-52746,8,CamaID: 0138-0035-0002,30 BREWSTER ST #2,485586,08178-0138-0035-0000,0138-0035-0002,252.744718601645,14,179471,3662.34815332412
Portsmouth,,105,0139-0006-0000,178,7,,11,178-34215,8,CamaID: 0139-0006-0000,82 LANGDON ST,485587,08178-0139-0006-0000,0139-0006-0000,283.256233184665,11,179472,4427.10867146124
Portsmouth,,305A,0139-0008-0000,178,61,,34,178-38017,8,CamaID: 0139-0008-0000,94 LANGDON ST,485588,08178-0139-0008-0000,0139-0008-0000,345.38351897292,34,179473,7427.34706289649
Portsmouth,,105,0138-0052-0000,178,7,,11,178-34204,8,CamaID: 0138-0052-0000,82 BREWSTER ST,485589,08178-0138-0052-0000,0138-0052-0000,354.157902301165,11,179474,4423.84958533377
Portsmouth,,105,0138-0056-0000,178,7,,11,178-34207,8,CamaID: 0138-0056-0000,98 BREWSTER ST,485590,08178-0138-0056-0000,0138-0056-0000,198.317583110197,11,179475,2432.13632788439
Portsmouth,,105,0138-0055-0000,178,7,,12,178-34206,8,CamaID: 0138-0055-0000,96 BREWSTER ST,485591,08178-0138-0055-0000,0138-0055-0000,194.611338489803,12,179476,2254.31857871145
Portsmouth,73,131,0123-0007-0000,178,27,,11,178-33628,8,CamaID: 0123-0007-0000,2 MARSH LN,485592,08178-0123-0007-0000,0123-0007-0000,191.605887576923,11-73,179477,2129.92185489101
Portsmouth,73,131,0123-0006-0000,178,27,,11,178-33627,8,CamaID: 0123-0006-0000,3 MARSH LN,485593,08178-0123-0006-0000,0123-0006-0000,250.849808245719,11-73,179478,3449.42316592697
Portsmouth,,207,0141-0030-0000,178,37,,14,178-38197,8,CamaID: 0141-0030-0001,1 JACKSON HILL ST #1,485594,08178-0141-0030-0000,0141-0030-0001,452.781046481318,14,179479,11707.7350593502
Portsmouth,,131,0140-0024-000A,178,27,,27,178-38094,8,CamaID: 0140-0024-000A,131 MILL POND WAY,485595,08178-0140-0024-000A,0140-0024-000A,101.346425402049,27,179480,620.500864352537
Portsmouth,,204,0140-0020-0000,178,34,,14,178-53746,8,CamaID: 0140-0020-0003,142 MILL POND WAY #3,485596,08178-0140-0020-0000,0140-0020-0003,589.507588516957,14,179481,22553.8731602236
Portsmouth,,301,0284-0002-0000,178,56,,34,178-35915,8,CamaID: 0284-0002-0000,235 HERITAGE AVE,485597,08178-0284-0002-0000,0284-0002-0000,1853.40847923696,34,179482,207758.948050087
Portsmouth,,301,0284-0003-0000,178,56,,27,178-35916,8,CamaID: 0284-0003-0000,HERITAGE AVE,485598,08178-0284-0003-0000,0284-0003-0000,2850.56729524414,27,179483,110248.711838702
Portsmouth,,301,0284-0005-0000,178,56,,27,178-35918,8,CamaID: 0284-0005-0000,329 HERITAGE AVE,485599,08178-0284-0005-0000,0284-0005-0000,162.4220370062,27,179484,1607.62802125677
Portsmouth,,117,0282-0006-0008,178,16,,11,178-32130,8,CamaID: 0282-0006-0008,108 BUCKMINSTER WAY,485600,08178-0282-0006-0008,0282-0006-0008,896.807205037147,11,179485,47683.6345475889
Portsmouth,,117,0282-0006-0004,178,16,,11,178-32126,8,CamaID: 0282-0006-0004,46 BUCKMINSTER WAY,485601,08178-0282-0006-0004,0282-0006-0004,1012.13410634937,11,179486,44053.7619261801
Portsmouth,,117,0282-0006-0009,178,16,,11,178-32131,8,CamaID: 0282-0006-0009,120 BUCKMINSTER WAY,485602,08178-0282-0006-0009,0282-0006-0009,954.523675245727,11,179487,51342.78551612
Portsmouth,,117,0282-0006-0028,178,16,,11,178-32150,8,CamaID: 0282-0006-0028,91 BUCKMINSTER WAY,485603,08178-0282-0006-0028,0282-0006-0028,884.782000372667,11,179488,43252.3650004334
Portsmouth,,117,0282-0006-0010,178,16,,11,178-32132,8,CamaID: 0282-0006-0010,136 BUCKMINSTER WAY,485604,08178-0282-0006-0010,0282-0006-0010,1081.17310634618,11,179489,63851.2222943315
Portsmouth,,117,0282-0006-0026,178,16,,11,178-32148,8,CamaID: 0282-0006-0026,55 BUCKMINSTER WAY,485605,08178-0282-0006-0026,0282-0006-0026,866.467247733681,11,179490,43935.0608315619
Portsmouth,,117,0282-0006-0027,178,16,,11,178-32149,8,CamaID: 0282-0006-0027,71 BUCKMINSTER WAY,485606,08178-0282-0006-0027,0282-0006-0027,858.73319660466,11,179491,44380.4809217548
Portsmouth,,131,0141-0009-0000,178,27,,11,178-34246,8,CamaID: 0141-0009-0000,61 DENNETT ST,485607,08178-0141-0009-0000,0141-0009-0000,250.158067677812,11,179492,3730.04181497622
Portsmouth,,131,0141-0013-0000,178,27,,11,178-34250,8,CamaID: 0141-0013-0000,52 PROSPECT ST,485608,08178-0141-0013-0000,0141-0013-0000,239.884855719616,11,179493,3414.51286229827
Portsmouth,,131,0141-0012-0000,178,27,,11,178-34249,8,CamaID: 0141-0012-0000,40 PROSPECT ST,485609,08178-0141-0012-0000,0141-0012-0000,285.956313194014,11,179494,3796.57305109957
Portsmouth,,131,0141-0004-0000,178,27,,11,178-34241,8,CamaID: 0141-0004-0000,49 DENNETT ST,485610,08178-0141-0004-0000,0141-0004-0000,339.144115679504,11,179495,6228.77290531003
Portsmouth,,304,0141-0001-0000,178,59,,57,178-37550,8,CamaID: 0141-0001-0000,324 MAPLEWOOD AVE,485611,08178-0141-0001-0000,0141-0001-0000,291.043542890497,57,179496,3207.53854770785
Portsmouth,,131,0141-0001-0001,178,27,,11,178-34270,8,CamaID: 0141-0001-0001,334 MAPLEWOOD AVE,485612,08178-0141-0001-0001,0141-0001-0001,220.809650560798,11,179497,2504.41426258987
Portsmouth,,304,0141-0034-0000,178,59,,60,178-38096,8,CamaID: 0141-0034-0000,JACKSON HILL ST,485613,08178-0141-0034-0000,0141-0034-0000,68.6164120851068,60,179498,210.049150597227
Portsmouth,,117,0282-0006-0031,178,16,,11,178-32153,8,CamaID: 0282-0006-0031,187 BUCKMINSTER WAY,485618,08178-0282-0006-0031,0282-0006-0031,882.160460242824,11,179499,44174.2294950134
Portsmouth,,117,0282-0006-0033,178,16,,11,178-32155,8,CamaID: 0282-0006-0033,229 BUCKMINSTER WAY,485619,08178-0282-0006-0033,0282-0006-0033,855.120553484176,11,179500,44373.9243934603
Portsmouth,,204,0140-0024-0000,178,34,,14,178-51545,8,CamaID: 0140-0024-0004,141  MILL POND WAY  #4,485614,08178-0140-0024-0000,0140-0024-0004,1275.86514575004,14,179501,68984.2821034152
Portsmouth,,117,0282-0006-0029,178,16,,11,178-32151,8,CamaID: 0282-0006-0029,129 BUCKMINSTER WAY,485615,08178-0282-0006-0029,0282-0006-0029,909.680833858159,11,179502,43577.9513444575
